#quick,cg_local
512
0,4
1,7
2,7
3,11
4,7
5,14
6,8
7,15
8,7
9,8
10,14
11,15
12,11
13,15
14,15
15,19
16,5
17,8
18,8
19,15
20,8
21,15
22,10
23,19
24,8
25,10
26,15
27,19
28,15
29,19
30,19
31,21
32,7
33,14
34,8
35,15
36,14
37,22
38,6
39,23
40,8
41,6
42,6
43,17
44,15
45,23
46,17
47,25
48,0
49,6
50,1
51,17
52,6
53,23
54,2
55,25
56,1
57,2
58,16
59,13
60,17
61,25
62,13
63,28
64,7
65,8
66,14
67,15
68,8
69,6
70,6
71,17
72,14
73,6
74,22
75,23
76,15
77,17
78,23
79,25
80,0
81,1
82,6
83,17
84,1
85,16
86,2
87,13
88,6
89,2
90,23
91,25
92,17
93,13
94,25
95,28
96,11
97,15
98,15
99,19
100,15
101,23
102,17
103,25
104,15
105,17
106,23
107,25
108,19
109,25
110,25
111,29
112,12
113,16
114,16
115,13
116,16
117,24
118,18
119,26
120,16
121,18
122,24
123,26
124,13
125,26
126,26
127,30
128,5
129,8
130,8
131,15
132,0
133,6
134,1
135,17
136,0
137,1
138,6
139,17
140,12
141,16
142,16
143,13
144,0
145,6
146,6
147,23
148,1
149,17
150,2
151,25
152,1
153,2
154,17
155,25
156,16
157,13
158,13
159,28
160,8
161,15
162,10
163,19
164,6
165,23
166,2
167,25
168,1
169,16
170,2
171,13
172,16
173,24
174,18
175,26
176,1
177,17
178,2
179,25
180,2
181,25
182,3
183,29
184,9
185,18
186,18
187,26
188,18
189,26
190,20
191,30
192,8
193,10
194,15
195,19
196,1
197,2
198,16
199,13
200,6
201,2
202,23
203,25
204,16
205,18
206,24
207,26
208,1
209,2
210,17
211,25
212,9
213,18
214,18
215,26
216,2
217,3
218,25
219,29
220,18
221,20
222,26
223,30
224,15
225,19
226,19
227,21
228,17
229,25
230,13
231,28
232,17
233,13
234,25
235,28
236,13
237,26
238,26
239,30
240,16
241,13
242,13
243,28
244,18
245,26
246,20
247,30
248,18
249,20
250,26
251,30
252,20
253,27
254,27
255,31
256,5
257,0
258,0
259,12
260,8
261,6
262,1
263,16
264,8
265,1
266,6
267,16
268,15
269,17
270,17
271,13
272,0
273,1
274,1
275,16
276,6
277,17
278,2
279,13
280,6
281,2
282,17
283,13
284,23
285,25
286,25
287,28
288,8
289,6
290,1
291,16
292,15
293,23
294,16
295,24
296,10
297,2
298,2
299,18
300,19
301,25
302,13
303,26
304,1
305,2
306,9
307,18
308,17
309,25
310,18
311,26
312,2
313,3
314,18
315,20
316,25
317,29
318,26
319,30
320,8
321,1
322,6
323,16
324,10
325,2
326,2
327,18
328,15
329,16
330,23
331,24
332,19
333,13
334,25
335,26
336,1
337,9
338,2
339,18
340,2
341,18
342,3
343,20
344,17
345,18
346,25
347,26
348,25
349,26
350,29
351,30
352,15
353,17
354,17
355,13
356,19
357,25
358,13
359,26
360,19
361,13
362,25
363,26
364,21
365,28
366,28
367,30
368,16
369,18
370,18
371,20
372,13
373,26
374,20
375,27
376,13
377,20
378,26
379,27
380,28
381,30
382,30
383,31
384,0
385,1
386,1
387,16
388,1
389,2
390,9
391,18
392,1
393,9
394,2
395,18
396,16
397,18
398,18
399,20
400,12
401,16
402,16
403,24
404,16
405,13
406,18
407,26
408,16
409,18
